Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,758390564,9729.766337335352,983089,12.612533321029915,69886,6859093,87.99868477273478,6414,0.0822883673005047,293,
United States of America,Americas,102019564,30821.374,267168,80.715,0,1109145,335.086,2362,0.714,0
China,Western Pacific,99030129,6730.851,97455,6.624,7838,119865,8.147,355,0.024,44
India,South-East Asia,44686371,3238.133,1239,0.09,169,530771,38.462,10,0.001,1
France,Europe,38513431,59215.576,26390,40.575,841,161253,247.931,170,0.261,35
Germany,Europe,38144033,45864.544,110846,133.282,19249,167951,201.945,73,0.088,11
Brazil,Americas,37024417,17418.385,34560,16.259,952,698947,328.824,891,0.419,1
Japan,Western Pacific,33190296,26242.271,92344,73.013,5330,72320,57.181,583,0.461,52
Republic of Korea,Western Pacific,30513721,59516.688,67946,132.528,10817,33977,66.272,104,0.203,16
Italy,Europe,25576852,42884.329,16179,27.127,0,188094,315.374,130,0.218,0
The United Kingdom,Europe,24370154,35898.643,9356,13.782,0,206952,304.852,39,0.057,0
Russian Federation,Europe,22272470,15261.968,82482,56.52,9753,396100,271.423,233,0.16,35
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13763336,29077.912,7380,15.592,0,119380,252.215,194,0.41,0
Viet Nam,Western Pacific,11526905,11842.072,80,0.082,4,43186,44.367,0,0,0
Australia,Western Pacific,11362275,44558.144,0,0,0,19370,75.961,202,0.792,0
Argentina,Americas,10044125,22223.593,817,1.808,0,130463,288.662,5,0.011,0
Netherlands,Europe,8594150,49370.145,3420,19.647,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7567702,9009.925,899,1.07,0,144842,172.445,30,0.036,0
Mexico,Americas,7450992,5778.975,14758,11.446,0,332986,258.263,49,0.038,0
Indonesia,South-East Asia,6736046,2462.693,1440,0.526,266,160914,58.83,22,0.008,3
Poland,Europe,6419480,16911.999,15459,40.726,3769,118884,313.198,51,0.134,16
Colombia,Americas,6359464,12498.236,689,1.354,0,142615,280.281,19,0.037,0
Austria,Europe,5905405,66344.934,38812,436.038,3262,21872,245.723,25,0.281,0
Greece,Europe,5871458,54778.396,0,0,0,36185,337.592,0,0,0
Portugal,Europe,5568084,54080.548,537,5.216,0,26180,254.276,16,0.155,0
Ukraine,Europe,5389439,12323.292,0,0,0,111235,254.346,0,0,0
Chile,Americas,5164922,27018.559,14296,74.785,1606,64174,335.705,72,0.377,8
Malaysia,Western Pacific,5042585,15579.884,1411,4.36,190,36957,114.185,0,0,0
Israel,Europe,4798947,55443.64,3616,41.777,620,12288,141.967,23,0.266,1
Thailand,South-East Asia,4728035,6773.691,204,0.292,0,33911,48.583,9,0.013,0
Belgium,Europe,4717655,40943.194,3532,30.653,0,33717,292.62,17,0.148,0
Czechia,Europe,4609820,43106.848,6807,63.653,1678,42436,396.823,33,0.309,2
Canada,Americas,4591149,12164.512,9396,24.895,0,51249,135.787,163,0.432,0
Peru,Americas,4485684,13604.585,915,2.775,68,219429,665.504,85,0.258,23
Switzerland,Europe,4389655,50720.378,0,0,0,13937,161.035,0,0,0
Philippines,Western Pacific,4076237,3719.837,708,0.646,95,66108,60.328,78,0.071,11
South Africa,Africa,4060385,6846.189,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3403225,58446.909,799,13.722,74,8255,141.771,18,0.309,1
Romania,Europe,3340342,17281.649,5211,26.96,0,67704,350.275,29,0.15,0
Sweden,Europe,2697827,26122.525,358,3.466,0,23662,229.114,3,0.029,0
Serbia,Europe,2491704,35972.428,5879,84.874,894,17821,257.28,42,0.606,5
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2226099,38050.75,0,0,0,1722,29.434,0,0,0
Hungary,Europe,2194969,22467.508,0,0,0,48650,497.977,0,0,0
New Zealand,Western Pacific,2166470,44926.697,7832,162.414,0,2542,52.714,8,0.166,0
Bangladesh,South-East Asia,2037829,1237.377,56,0.034,11,29445,17.879,0,0,0
Slovakia,Europe,1862889,34132.143,632,11.58,110,21021,385.15,18,0.33,4
Georgia,Europe,1825598,45763.798,0,0,0,16965,425.276,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1703244,34308.885,206,4.15,0,8655,174.34,39,0.786,0
Pakistan,Eastern Mediterranean,1576961,713.905,257,0.116,23,30643,13.872,2,0.001,0
Kazakhstan,Europe,1498722,7981.815,544,2.897,54,19069,101.557,1,0.005,1
Norway,Europe,1478979,27553.926,268,4.993,42,5175,96.412,0,0,0
Finland,Europe,1462169,26463.199,210,3.801,0,8892,160.933,0,0,0
Slovenia,Europe,1328222,63373.573,2148,102.488,585,9125,435.382,3,0.143,0
Lithuania,Europe,1304750,46696.778,2117,75.767,618,9587,343.117,10,0.358,1
Bulgaria,Europe,1296773,18654.626,474,6.819,105,38216,549.753,10,0.144,5
Morocco,Eastern Mediterranean,1272445,3447.374,59,0.16,0,16296,44.15,0,0,0
Croatia,Europe,1268992,31270.094,388,9.561,0,17971,442.836,21,0.517,0
Guatemala,Americas,1235970,6898.86,1925,10.745,52,20168,112.572,11,0.061,1
Lebanon,Eastern Mediterranean,1231713,18045.9,673,9.86,0,10825,158.598,6,0.088,0
Costa Rica,Americas,1204164,23638.322,5109,100.292,0,9230,181.189,16,0.314,0
Bolivia (Plurinational State of),Americas,1192933,10219.574,729,6.245,45,22365,191.596,3,0.026,0
